"code_system","code","display","code_dicom"
"http://snomed.info/sct","83419000","Femoral vein","FEMORALV"
"http://snomed.info/sct","7657000","Femoral artery","FEMORALA"
"http://snomed.info/sct","23074001","Facial artery","FACIALA"
"http://snomed.info/sct","89545001","Face","FACE"
"http://snomed.info/sct","80243003","Eyelid","EYELID"
"http://snomed.info/sct","81745001","Eye","EYE"
"http://snomed.info/sct","66019005","Extremity","EXTREMITY"
"http://snomed.info/sct","71585003","External jugular vein","EXTJUGV"
"http://snomed.info/sct","63507001","External iliac vein","EXTILIACV"
"http://snomed.info/sct","113269004","External iliac artery","EXTILIACA"
"http://snomed.info/sct","32849002","Esophagus","ESOPHAGUS"
"http://snomed.info/sct","27947004","Epigastric region","EPIGASTRIC"
"http://snomed.info/sct","87644002","Epididymis","EPIDIDYMIS"
"http://snomed.info/sct","48367006","Endo-vesical","ENDOVESICAL"
"http://snomed.info/sct","29092000","Endo-venous","ENDOVENOUS"
"http://snomed.info/sct","59820001","Endo-vascular","ENDOVASCULAR"
"http://snomed.info/sct","76784001","Endo-vaginal","ENDOVAGINAL"
"http://snomed.info/sct","13648007","Endo-urethral","ENDOURETHRAL"
"http://snomed.info/sct","87953007","Endo-ureteric","ENDOURETERIC"
"http://snomed.info/sct","64033007","Endo-renal","ENDORENAL"
"http://snomed.info/sct","34402009","Endo-rectal","ENDORECTAL"
"http://snomed.info/sct","18962004","Endo-nasopharyngeal","ENDONASOPHARYNYX"
"http://snomed.info/sct","53342003","Endo-nasal","ENDONASAL"
"http://snomed.info/sct","2739003","Endometrium","ENDOMETRIUM"
"http://snomed.info/sct","32849002","Endo-esophageal","ENDOESOPHAGEAL"
"http://snomed.info/sct","80891009","Endo-cardiac","ENDOCARDIAC"
"http://snomed.info/sct","51114001","Endo-arterial","ENDOARTERIAL"
"http://snomed.info/sct","16953009","Elbow joint","ELBOW"
"http://snomed.info/sct","22286001","External carotid artery","ECA"
"http://snomed.info/sct","117590005","Ear","EAR"
"http://snomed.info/sct","84301002","External auditory canal","EAC"
"http://snomed.info/sct","38848004","Duodenum","DUODENUM"
"http://snomed.info/sct","32622004","Descending colon","DESCENDINGCOLON"
"http://snomed.info/sct","32672002","Descending aorta","DESCAORTA"
"http://snomed.info/sct","53843000","Rectouterine pouch","CULDESAC"
"http://snomed.info/sct","1217257000","Cervico-thoracic spine","CTSPINE"
"http://snomed.info/sct","122494005","Cervical spine","CSPINE"
"http://snomed.info/sct","90219004","Coronary sinus","CORONARYSINUS"
"http://snomed.info/sct","41801008","Coronary artery","CORONARYARTERY"
"http://snomed.info/sct","28726007","Cornea","CORNEA"
"http://snomed.info/sct","79741001","Common bile duct","COMMONBILEDUCT"
"http://snomed.info/sct","46027005","Common iliac vein","COMILIACV"
"http://snomed.info/sct","73634005","Common iliac artery","COMILIACA"
"http://snomed.info/sct","71854001","Colon","COLON"
"http://snomed.info/sct","64688005","Coccyx","COCCYX"
"http://snomed.info/sct","51299004","Clavicle","CLAVICLE"
"http://snomed.info/sct","11279006","Circle of Willis","CIRCLEOFWILLIS"
"http://snomed.info/sct","80621003","Choroid plexus","CHOROIDPLEXUS"
"http://snomed.info/sct","416775004","Chest, Abdomen and Pelvis","CHESTABDPELVIS"
"http://snomed.info/sct","416550000","Chest and Abdomen","CHESTABDOMEN"
"http://snomed.info/sct","43799004","Chest","CHEST"
"http://snomed.info/sct","60819002","Cheek","CHEEK"
"http://snomed.info/sct","397363009","Common femoral vein","CFV"
"http://snomed.info/sct","181347005","Common femoral artery","CFA"
"http://snomed.info/sct","71252005","Cervix","CERVIX"
"http://snomed.info/sct","88556005","Cerebral artery","CEREBRALA"
"http://snomed.info/sct","372073000","Cerebral hemisphere","CEREBHEMISPHERE"
"http://snomed.info/sct","113305005","Cerebellum","CEREBELLUM"
"http://snomed.info/sct","20699002","Cephalic vein","CEPHALICV"
"http://snomed.info/sct","57850000","Celiac artery","CELIACA"
"http://snomed.info/sct","32062004","Common carotid artery","CCA"
"http://snomed.info/sct","69105007","Carotid Artery","CAROTID"
"http://snomed.info/sct","53840002","Calf of leg","CALF"
"http://snomed.info/sct","80144004","Calcaneus","CALCANEUS"
"http://snomed.info/sct","46862004","Buttock","BUTTOCK"
"http://snomed.info/sct","21479005","Carotid bulb","BULB"
"http://snomed.info/sct","955009","Bronchus","BRONCHUS"
"http://snomed.info/sct","76752008","Breast","BREAST"
"http://snomed.info/sct","12738006","Brain","BRAIN"
"http://snomed.info/sct","20115005","Brachial vein","BRACHIALV"
"http://snomed.info/sct","17137000","Brachial artery","BRACHIALA"
"http://snomed.info/sct","110837003","Bladder and urethra","BLADDERURETHRA"
"http://snomed.info/sct","89837001","Bladder","BLADDER"
"http://snomed.info/sct","34707002","Biliary tract","BILIARYTRACT"
"http://snomed.info/sct","28273000","Bile duct","BILEDUCT"
"http://snomed.info/sct","59011009","Basilar artery","BASILARA"
"http://snomed.info/sct","77568009","Back","BACK"
"http://snomed.info/sct","72107004","Azygos vein","AZYGOSVEIN"
"http://snomed.info/sct","68705008","Axillary vein","AXILLARYV"
"http://snomed.info/sct","67937003","Axillary Artery","AXILLARYA"
"http://snomed.info/sct","91470000","Axilla","AXILLA"
"http://snomed.info/sct","9040008","Ascending colon","ASCENDINGCOLON"
"http://snomed.info/sct","54247002","Ascending aorta","ASCAORTA"
"http://snomed.info/sct","51114001","Artery","ARTERY"
"http://snomed.info/sct","66754008","Appendix","APPENDIX"
"http://snomed.info/sct","57034009","Aortic arch","AORTICARCH"
"http://snomed.info/sct","15825003","Aorta","AORTA"
"http://snomed.info/sct","110612005","Anus, rectum and sigmoid colon","ANUSRECTUMSIGMD"
"http://snomed.info/sct","68053000","Anterior tibial artery","ANTTIBIALA"
"http://snomed.info/sct","17388009","Anterior spinal artery","ANTSPINALA"
"http://snomed.info/sct","128553008","Antecubital vein","ANTECUBITALV"
"http://snomed.info/sct","8012006","Anterior communicating artery","ANTCOMMA"
"http://snomed.info/sct","194996006","Anterior cardiac vein","ANTCARDIACV"
"http://snomed.info/sct","70258002","Ankle joint","ANKLE"
"http://snomed.info/sct","77012006","Amniotic fluid","AMNIOTICFLUID"
"http://snomed.info/sct","23451007","Adrenal gland","ADRENAL"
"http://snomed.info/sct","85856004","Acromioclavicular joint","ACJOINT"
"http://snomed.info/sct","60176003","Anterior cerebral artery","ACA"
"http://snomed.info/sct","7832008","Abdominal aorta","ABDOMINALAORTA"
"http://snomed.info/sct","818982008","Abdomen and Pelvis","ABDOMENPELVIS"
"http://snomed.info/sct","818981001","Abdomen","ABDOMEN"
"http://snomed.info/sct","35918002","Fourth ventricle","4THVENTRICLE"
"http://snomed.info/sct","49841001","Third ventricle","3RDVENTRICLE"
