"code_system","code","display"
"https://ibsi.readthedocs.io/en/latest/","IC23","Normalised run length non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","9ZK5","Run percentage"
"https://ibsi.readthedocs.io/en/latest/","8CE5","Grey level variance"
"https://ibsi.readthedocs.io/en/latest/","SXLW","Run length variance"
"https://ibsi.readthedocs.io/en/latest/","HJ9O","Run entropy"
"https://ibsi.readthedocs.io/en/latest/","9SAK","Grey level size zone based features"
"https://ibsi.readthedocs.io/en/latest/","5QRC","Small zone emphasis"
"https://ibsi.readthedocs.io/en/latest/","48P8","Large zone emphasis"
"https://ibsi.readthedocs.io/en/latest/","XMSY","Low grey level zone emphasis"
"https://ibsi.readthedocs.io/en/latest/","5GN9","High grey level zone emphasis"
"https://ibsi.readthedocs.io/en/latest/","5RAI","Small zone low grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","HW1V","Small zone high grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","YH51","Large zone low grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","J17V","Large zone high grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","JNSA","Grey level non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","Y1RO","Normalised grey level non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","4JP3","Zone size non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","VB3A","Normalised zone size non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","P30P","Zone percentage"
"https://ibsi.readthedocs.io/en/latest/","BYLV","Grey level variance"
"https://ibsi.readthedocs.io/en/latest/","3NSA","Zone size variance"
"https://ibsi.readthedocs.io/en/latest/","GU8N","Zone size entropy"
"https://ibsi.readthedocs.io/en/latest/","VMDZ","Grey level distance zone based features"
"https://ibsi.readthedocs.io/en/latest/","0GBI","Small distance emphasis"
"https://ibsi.readthedocs.io/en/latest/","MB4I","Large distance emphasis"
"https://ibsi.readthedocs.io/en/latest/","S1RA","Low grey level zone emphasis"
"https://ibsi.readthedocs.io/en/latest/","K26C","High grey level zone emphasis"
"https://ibsi.readthedocs.io/en/latest/","RUVG","Small distance low grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","DKNJ","Small distance high grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","A7WM","Large distance low grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","KLTH","Large distance high grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","VFT7","Grey level non-uniformity"
